structure_wikidata,smiles,cas
http://www.wikidata.org/entity/Q590622,CCC(CC)O,584-02-1
http://www.wikidata.org/entity/Q2823827,CCC(C)(C)OC(=O)C,625-16-1
http://www.wikidata.org/entity/Q27162104,CC1=CC=C(C=C1)C(=C)C,1195-32-0
http://www.wikidata.org/entity/Q27160507,CCC1=CC=C(O1)C,1703-52-2
http://www.wikidata.org/entity/Q27284399,CC(C)CCCC(=O)C,928-68-7
http://www.wikidata.org/entity/Q27287939,CC1=CC(CC(=O)C1)(C)C,471-01-2
http://www.wikidata.org/entity/Q3348790,CCCCCCCC(=O)OCC,106-32-1
http://www.wikidata.org/entity/Q424577,CC(=CCCC(=C)C=C)C,123-35-3
http://www.wikidata.org/entity/Q18347448,CC1=CC=C(O1)C(=O)C,1193-79-9
http://www.wikidata.org/entity/Q27161449,CC1=CC=CC=C1C(C)C,527-84-4
http://www.wikidata.org/entity/Q27261346,CCC(C)C1=NC=CS1,18277-27-5
http://www.wikidata.org/entity/Q61739051,C=CC(=CCCC(=C)C)C,502-99-8
http://www.wikidata.org/entity/Q417321,C#CC1=CC=CC=C1,536-74-3
http://www.wikidata.org/entity/Q24763442,CC(C)CC#N,625-28-5
http://www.wikidata.org/entity/Q27161143,CC1=CSC=C1,616-44-4
http://www.wikidata.org/entity/Q421143,CCC(C)OC(=O)C,105-46-4
http://www.wikidata.org/entity/Q19903182,CCC(=O)C(=O)C,600-14-6
http://www.wikidata.org/entity/Q243992,C1=COC=C1,110-00-9
http://www.wikidata.org/entity/Q517266,CCCCCC(=O)C,110-43-0
http://www.wikidata.org/entity/Q905406,CCCCCC(=O)OCC,123-66-0
http://www.wikidata.org/entity/Q2805872,CC1=CC=CC=C1C=C,611-15-4
http://www.wikidata.org/entity/Q3278329,CC(C)CCCO,626-89-1
http://www.wikidata.org/entity/Q27105257,C[C@@H]1CC[C@H](C[C@H]1O)C(=C)C,20549-47-7
http://www.wikidata.org/entity/Q21099678,CC1=COC=C1,930-27-8
http://www.wikidata.org/entity/Q5277321,CSSSC,3658-80-8
http://www.wikidata.org/entity/Q27888324,CC1=CC[C@@H](CC1)C(=C)C,5989-27-5
http://www.wikidata.org/entity/Q72489417,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)OC)O,19685-10-0
